182,1,1
185,1,1
191,1,1
194,1,1
207,1,1
209,1,1
216,1,1
221,1,1
239,1,1
259,1,1
267,1,1
273,1,1
284,1,1
285,1,1
313,1,1
326,1,1
330,1,1
342,1,1
350,1,1
352,1,1
353,1,1
355,1,1
367,1,1
389,1,1
390,1,1
402,1,1
412,1,1
415,1,1
439,1,1
444,1,1
451,1,1
456,1,1
460,1,1
463,1,1
478,1,1
486,1,1
505,1,1
516,1,1
529,1,1
540,1,1
557,1,1
563,1,1
573,1,1
577,1,1
578,1,1
579,1,1
580,1,1
589,1,1
593,1,1
611,1,1
651,1,1
655,1,1
659,1,1
667,1,1
671,1,1
697,1,1
702,1,1
726,1,1
735,1,1
743,1,1
744,1,1
745,1,1
746,1,1
793,1,1
821,1,1
863,1,1
879,1,1
881,1,1
890,1,1
891,1,1
896,1,1
900,1,1
937,1,1
939,1,1
947,1,1
951,1,1
954,1,1
962,1,1
970,1,1
995,1,1
1005,1,1
1016,1,1
1024,1,1
1028,1,1
1058,1,1
1059,1,1
1088,1,1
1135,1,1
1141,1,1
1148,1,1
1166,1,1
1179,1,1
1188,1,1
1254,1,1
1272,1,1
1274,1,1
1284,1,1
1285,1,1
1286,1,1
1291,1,1
1292,1,1
1296,1,1
1323,1,1
1344,1,1
1401,1,1
1405,1,1
1407,1,1
1410,1,1
1422,1,1
1429,1,1
1432,1,1
1437,1,1
1443,1,1
1457,1,1
1460,1,1
1463,1,1
1475,1,1
1486,1,1
1504,1,1
1519,1,1
1540,1,1
1541,1,1
1542,1,1
1543,1,1
1544,1,1
1548,1,1
1563,1,1
1564,1,1
1565,1,1
1566,1,1
1573,1,1
1583,1,1
1617,1,1
1686,1,1
1714,1,1
1948,1,1
2023,1,1
2118,1,1
2330,1,1
2504,1,1
2539,1,1
2550,1,1
2551,1,1
2558,1,1
2563,1,1
2571,1,1
2577,1,1
2607,1,1
2608,1,1
2617,1,1
2624,1,1
2652,1,1
2708,1,1
2755,1,1
2764,1,1
2765,1,1
2766,1,1
2768,1,1
2769,1,1
2770,1,1
2771,1,1
2772,1,1
2773,1,1
2775,1,1
2776,1,1
2804,1,1
2805,1,1
2809,1,1
2835,1,1
2838,1,1
